Language,Default

#,[ NPC ]
NPC_Alexei_Bogomolov,Алексей Богомолов
NPC_Alp_Demir,Альп Демир
NPC_Brett_Cassidy,Брет Кэссиди
NPC_Claudia_Flores,Клаудия Флорес
NPC_Cristhyan_Oriol_Soler,Хрестьян Ориол Солер
NPC_Cyrus,Цирус
NPC_Dalton_Wells,Далтон Веллс
NPC_David_Almanza,Дэвид Алманза
NPC_Earl_RunningWolf,Эрл Бегущий Волк
NPC_Fang_Zheng,Фанк Сенк
NPC_Freyja_Johannsson,Фрея Йохансон
NPC_Gin_Lao,Джин Лао
NPC_Grace_Thompson,Грейс Томсон
NPC_Ida_Shahane,Ида Шахан
NPC_Isko_Exconde,Иско Эксконд
NPC_Jozef_Pertragolavic,Йозеф Петраголовиц
NPC_Judith_Taggart,Юдит Тагарт
NPC_Katerina_Spiros,Катерина Спирос
NPC_Litzi_Vogl,Литзи Вогл
NPC_Martin_Lopez,Мартин Лопез
NPC_Miriam_Katz,Мириам Кэтз
NPC_Nina_Zherdev,Нина Жердева
NPC_Idrissi_Nouri,Идрисси Ноури
NPC_Octavio_Cardoso,Октавио Кардосо
NPC_Odette_Gauthier,Одетт Годри
NPC_Pierre_Ondo,Пьер Ондо
NPC_Rana_Quadir,Рана Квадир
NPC_Seble_Kebede,Себле Кебеде
NPC_Seoyeon_Nam,Сеоеюн Нам
NPC_Tau_Mogorosi,Тау Могороси
NPC_Temir_Umarov,Темур Умаров
NPC_Ulf_Wiklund,Ульф Викланд
NPC_Ursula_Hafner,Урсула Хафнер
NPC_Vinh_Pham,Винх Фам
NPC_Wirat_Saapchaengduagdao,Вират Сапчэнгдуагдао

#,[ ID Tag Character ]
Female_Asian_Doctor_01,Tala Baccay
Female_Asian_Doctor_02,Аой Такара
Female_Asian_Engineer_01,Минхе Мок
Female_Asian_Engineer_02,Дхиа Чунг
Female_Asian_Miner_01,Jampa Namgang
Female_Asian_Miner_02,Junhui Chen
Female_Asian_Pilot_01,Lin Hui Tong
Female_Asian_Pilot_02,Yumi Sonoda
Female_Asian_Scientist_01,Siyi Zhao
Female_Asian_Scientist_02,Solongo Lkhagvasuren
Female_Asian_Soldier_01,Gemi Sinaga
Female_Asian_Soldier_02,Zoya Ansari
Female_Black_Doctor_01,Fana Ibrahim
Female_Black_Doctor_02,Esi Akufo
